
65,116-01-3523,Mussels - Frozen,06/08/2018,Portugal,20/07/2018,Leavenworth's Eryngo,Automated,$9.85,bankcard,$3.55
66,850-16-7580,"Pork - Tenderloin, Fresh",09/09/2018,China,14/01/2018,Sessileflower False Goldenaster,Streamlined,$7.18,jcb,$5.09
67,301-43-6000,Ice Cream Bar - Oreo Sandwich,29/05/2018,Peru,13/12/2017,Rockface Yellow Loosestrife,Synchronised,$4.84,laser,$3.29
68,105-69-3129,Paste - Black Olive,23/06/2018,China,29/07/2018,Platythelys,asynchronous,$3.93,jcb,$6.05
69,584-64-2138,Vinegar - Raspberry,12/02/2018,Mongolia,06/12/2017,Caribbean Spleenwort,definition,$8.83,maestro,$6.12
70,242-04-2616,Salt - Celery,24/09/2018,China,28/08/2018,Brazilian Water Hyacinth,Persevering,$9.12,jcb,$4.43
71,114-78-8644,Syrup - Pancake,21/07/2018,Russia,26/06/2018,California Alsia Moss,Grass-roots,$7.05,instapayment,$9.10
72,805-01-6867,Olives - Nicoise,30/12/2017,Thailand,03/10/2018,Heliotrope,Decentralized,$2.66,mastercard,$6.58
73,785-72-9807,Shrimp - 100 / 200 Cold Water,29/07/2018,China,17/11/2017,Rydberg's Fleabane,website,$5.50,diners-club-enroute,$2.40
74,748-79-8673,"Syrup - Golden, Lyles",18/04/2018,Indonesia,20/01/2018,Lakeshore Panicgrass,monitoring,$0.58,jcb,$6.90
75,217-93-5910,Basil - Thai,30/04/2018,China,01/08/2018,Slaty Gum,instruction set,$9.23,jcb,$9.45
76,514-66-0503,Sprite - 355 Ml,23/06/2018,Indonesia,15/09/2018,Trichoramalina Lichen,mission-critical,$5.94,china-unionpay,$9.95
77,299-99-9661,Sorrel - Fresh,19/06/2018,Indonesia,20/12/2017,Orange Lichen,Front-line,$7.91,bankcard,$1.72
78,330-28-1996,Sesame Seed,22/01/2018,Russia,17/01/2018,Bushy Knotweed,Seamless,$8.15,mastercard,$8.28
79,673-80-2568,Horseradish Root,06/09/2018,China,08/05/2018,Great Smoky Mountain Hawthorn,methodology,$2.86,instapayment,$1.13
80,531-11-6803,Cake - Box Window 10x10x2.5,07/06/2018,South Africa,05/12/2017,Pacific Dewberry,projection,$5.15,china-unionpay,$7.85
81,402-18-6714,Bamboo Shoots - Sliced,20/05/2018,Russia,17/01/2018,Peruvian Paspalum,flexibility,$5.19,jcb,$3.96
82,814-62-7519,"Pasta - Orzo, Dry",03/02/2018,Sweden,07/05/2018,Roccella Lichen,open system,$1.16,jcb,$5.12
83,860-54-0020,Jagermeister,15/10/2018,China,10/02/2018,Fewseed Draba,neutral,$0.37,visa-electron,$1.70
84,380-41-0339,Cardamon Ground,22/08/2018,New Zealand,21/09/2018,Blochman's Liveforever,background,$9.77,jcb,$9.15
85,454-73-8758,Rice - Aborio,07/06/2018,Bulgaria,14/10/2018,Forked Jelly Lichen,monitoring,$6.78,jcb,$9.71
86,674-83-4040,Syrup - Pancake,23/12/2017,Indonesia,27/12/2017,Nutrush,stable,$3.05,jcb,$2.84
87,481-62-9034,Crawfish,24/07/2018,Russia,02/01/2018,Berg's Hedgenettle,executive,$7.60,maestro,$8.88
88,103-15-8960,Water - Perrier,09/05/2018,Indonesia,27/01/2018,Shrubland Nehe,non-volatile,$1.83,mastercard,$0.62
89,460-76-2069,Tea - Grapefruit Green Tea,26/06/2018,China,25/05/2018,Yellow Indian Paintbrush,multi-tasking,$1.77,mastercard,$1.96
90,642-54-8228,Sea Bass - Fillets,08/04/2018,China,26/04/2018,Stirton's Bryum Moss,forecast,$0.64,jcb,$2.51
91,359-28-8422,Tuna - Yellowfin,15/08/2018,Libya,02/05/2018,Wilson's Bartramidula Moss,Sharable,$1.37,jcb,$1.34
92,871-80-6878,Chicken - Base,16/06/2018,Indonesia,17/04/2018,Small Rocklettuce,projection,$1.22,jcb,$4.69
93,582-93-3808,Cheese - Augre Des Champs,25/03/2018,Portugal,04/12/2017,False Sicklepod,superstructure,$0.38,jcb,$5.10
94,864-64-7706,Bagelers,27/04/2018,Brazil,01/10/2018,Russian Thistle,Graphical User Interface,$1.71,china-unionpay,$3.41
95,691-39-1311,"Corn - Cream, Canned",25/03/2018,Greece,23/08/2018,Summer Holly,executive,$9.48,jcb,$5.26
96,343-47-4201,Ginger - Pickled,31/03/2018,Portugal,11/07/2018,Heim's Desmatodon Moss,Cross-group,$2.42,bankcard,$1.44
97,745-61-6370,Kaffir Lime Leaves,28/05/2018,Philippines,17/07/2018,Theobroma,zero defect,$9.09,jcb,$5.34
98,627-40-3524,Cocoa Feuilletine,31/03/2018,China,30/12/2017,Piedmont Xanthoparmelia Lichen,encoding,$9.89,jcb,$4.74
99,352-34-6959,"Juice - Cranberry, 341 Ml",14/12/2017,Venezuela,10/08/2018,Virola,foreground,$8.30,switch,$1.15
100,587-78-6801,Mace Ground,26/10/2017,Luxembourg,25/12/2017,Eastern Bottlebrush Grass,homogeneous,$0.48,maestro,$8.98


